id,name,air_date,director,writer,characters,img_url
1,Chapter 1,02/15/2018,Mike Roberts,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/2', 'https://finalspaceapi.com/api/v0/character/3', 'https://finalspaceapi.com/api/v0/character/5', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/11']",http://finalspaceapi.com/api/episode/image/chapter1.jpg
2,Chapter 2,02/15/2018,Mike Roberts,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/2', 'https://finalspaceapi.com/api/v0/character/3', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/5', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/10', 'https://finalspaceapi.com/api/v0/character/12', 'https://finalspaceapi.com/api/v0/character/14']",http://finalspaceapi.com/api/episode/image/chapter2.jpg
3,Chapter 3,02/26/2018,Mike Roberts,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/3', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/5', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/11', 'https://finalspaceapi.com/api/v0/character/14']",http://finalspaceapi.com/api/episode/image/chapter3.jpg
4,Chapter 4,03/19/2018,Mike Roberts,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/3', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/5', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/15', 'https://finalspaceapi.com/api/v0/character/11']",http://finalspaceapi.com/api/episode/image/chapter4.jpg
5,Chapter 5,03/19/2018,Mike Roberts,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/3', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/5', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/11', 'https://finalspaceapi.com/api/v0/character/14']",http://finalspaceapi.com/api/episode/image/chapter5.jpg
6,Chapter 6,03/26/2018,Mike Roberts,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/3', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/5', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/11']",http://finalspaceapi.com/api/episode/image/chapter6.jpg
7,Chapter 7,04/09/2018,Mike Roberts,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/3', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/12']",http://finalspaceapi.com/api/episode/image/chapter7.jpg
8,Chapter 8,04/16/2018,Mike Roberts,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/3', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/11', 'https://finalspaceapi.com/api/v0/character/12', 'https://finalspaceapi.com/api/v0/character/15', 'https://finalspaceapi.com/api/v0/character/18']",http://finalspaceapi.com/api/episode/image/chapter8.jpg
9,Chapter 9,04/23/2018,Mike Roberts,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/3', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/11', 'https://finalspaceapi.com/api/v0/character/14', 'https://finalspaceapi.com/api/v0/character/22']",http://finalspaceapi.com/api/episode/image/chapter9.jpg
10,Chapter 10,04/30/2018,Mike Roberts,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/3', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/11', 'https://finalspaceapi.com/api/v0/character/14', 'https://finalspaceapi.com/api/v0/character/15', 'https://finalspaceapi.com/api/v0/character/22']",http://finalspaceapi.com/api/episode/image/chapter10.jpg
11,The Toro Regatta,06/22/2019,Ben Bjelajac,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/7', 'https://finalspaceapi.com/api/v0/character/8', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/10', 'https://finalspaceapi.com/api/v0/character/11', 'https://finalspaceapi.com/api/v0/character/12', 'https://finalspaceapi.com/api/v0/character/13']",http://finalspaceapi.com/api/episode/image/the_toro_regatta.jpg
12,The Happy Place,06/22/2019,Yoriaki Mochizuki,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/7', 'https://finalspaceapi.com/api/v0/character/8', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/10', 'https://finalspaceapi.com/api/v0/character/12', 'https://finalspaceapi.com/api/v0/character/13']",http://finalspaceapi.com/api/episode/image/the_happy_place.jpg
13,The Grand Surrender,07/08/2019,Anne Walker Farrell,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/7', 'https://finalspaceapi.com/api/v0/character/8', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/10', 'https://finalspaceapi.com/api/v0/character/12', 'https://finalspaceapi.com/api/v0/character/13']",http://finalspaceapi.com/api/episode/image/the_grand_surrender.jpg
